RelicId,RelicName,Rarity,Faction,Price,IsShopRelic,IsBossRelic,IsStartingRelic,IsSynthesisTarget,HiddenActivatorRelicId,BaseEffectsJson,HiddenEffectsJson
Starter_BurningHeart,燃烧之心,Starting,None,0,0,0,1,0,,[],
Boss_BloodVein,鲜血脉络,Starting,Blood,350,0,1,0,0,,[],
Boss_FrostHeart,寒霜之心,Starting,Frost,350,0,1,0,0,,[],
Boss_CorruptLiver,腐化肝脏,Starting,Corrupt,350,0,1,0,0,,[],
Boss_SlimeGland,粘液腺体,Starting,Slime,350,0,1,0,0,,[],
Boss_ReluctantChain,不舍锁链,Starting,Reluctant,350,0,1,0,0,,[],
Boss_MemoryLens,记忆晶状体,Starting,Shadow,350,0,1,0,0,,[],
Blood_BloodCharm,血护符,Rare,Blood,285,0,0,0,0,Boss_BloodVein,[],[]
Blood_VampireFang,吸血獠牙,Common,Blood,150,0,0,0,0,Boss_BloodVein,[],[]
Blood_BloodPact,血契,Legendary,Blood,300,0,0,0,0,Boss_BloodVein,[],[]
Blood_CrimsonAltar,血祭坛,Rare,Blood,285,0,0,0,0,Boss_BloodVein,[],[]
Frost_IceCrystal,冰晶符,Common,Frost,150,0,0,0,0,Boss_FrostHeart,[],[]
Frost_Permafrost,永冻土,Rare,Frost,285,0,0,0,0,Boss_FrostHeart,[],[]
Frost_FrostGiant,霜巨人,Legendary,Frost,300,0,0,0,0,,[],
Frost_Snowflake,雪符,Common,Frost,150,0,0,0,0,Boss_FrostHeart,[],[]
Corrupt_DarkTome,暗法典,Common,Corrupt,150,0,0,0,0,Boss_CorruptLiver,[],[]
Corrupt_Necronomicon,邪典遗书,Legendary,Corrupt,350,0,0,0,0,Boss_CorruptLiver,[],[]
Corrupt_DeadBranch,枯枝,Rare,Corrupt,285,0,0,0,0,Boss_CorruptLiver,[],[]
Slime_SlimeHeart,粘液核,Rare,Slime,285,0,0,0,0,Boss_SlimeGland,[],[]
Slime_AcidicCore,酸核,Legendary,Slime,300,0,0,0,0,Boss_SlimeGland,[],[]
Slime_StickyGlove,粘液手套,Common,Slime,150,0,0,0,0,Boss_SlimeGland,[],[]
Reluctant_EchoRing,回响戒,Rare,Reluctant,285,0,0,0,0,Boss_ReluctantChain,[],[]
Reluctant_Nostalgia,怀旧链,Common,Reluctant,150,0,0,0,0,Boss_ReluctantChain,[],[]
Shadow_Cloak,暗影斗篷,Common,Shadow,150,0,0,0,0,Boss_MemoryLens,[],[]
Shadow_PhantomMask,幻影面具,Rare,Shadow,285,0,0,0,0,Boss_MemoryLens,[],[]
Shadow_AbyssGaze,深渊凝视,Legendary,Shadow,320,0,0,0,0,Boss_MemoryLens,[],[]
Generic_IronRing,铁戒指,Common,None,150,0,0,0,0,,[],
Generic_BronzeShield,铜盾,Common,None,150,0,0,0,0,,[],
Generic_LeatherArmor,皮甲,Common,None,150,0,0,0,0,,[],
Generic_WarriorBelt,战士腰带,Common,None,150,0,0,0,0,,[],
Generic_SwiftBoots,疾行靴,Rare,None,285,0,0,0,0,,[],
Generic_PowerPendant,力量坠饰,Rare,None,285,0,0,0,0,,[],
Generic_IronWill,钢铁意志,Rare,None,285,0,0,0,0,,[],
Generic_GoldenChalice,金杯,Rare,None,285,0,0,0,0,,[],
Generic_BattleStandard,战旗,Legendary,None,320,0,0,0,0,,[],
Generic_PhoenixFeather,凤凰羽毛,Legendary,None,350,0,0,0,0,,[],
Generic_TitanHeart,泰坦核,Legendary,None,320,0,0,0,0,,[],
Generic_EternalFlame,永焰,Legendary,None,380,0,0,0,0,,[],
Combo_ResonanceStone,共鸣石,Legendary,None,350,0,0,0,0,,[],
Combo_ChessMaster,棋王冠,Legendary,None,350,0,0,0,0,,[],
Shop_EnergyCore,能核,Legendary,None,325,1,0,0,0,,[],
Shop_DrawingPad,画板,Legendary,None,325,1,0,0,0,,[],
Shop_TreasureChest,宝箱,Rare,None,325,1,0,0,0,,[],
Shop_GoldenIdol,金像,Legendary,None,350,1,0,0,0,,[],
Shop_RestockTalisman,补货符,Rare,None,300,1,0,0,0,,[],
Synth_SwordShard,剑碎片,Common,None,150,0,0,0,1,,[],
Synth_HiltShard,剑柄碎片,Common,None,150,0,0,0,1,,[],
Synth_SwordCore,剑核,Rare,None,0,0,0,0,1,,[],
Generic_PiggyBank,储蓄罐,Common,None,150,0,0,0,0,,[],
Generic_VictorySword,胜利誓约剑,Legendary,None,350,0,0,0,0,,[],
